,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability
G15,2,4,1,2,2,3,3,5,0.75
G17_i,1,2,1,0,-1,3,5,2,0.9375
DFF_1.CK,1,0,0,0,1,1,-1,-1,-1
DFF_2.CK,1,0,0,0,1,1,-1,-1,-1
G7,1,0,1,2,3,1,3,7,0.5
G8,2,2,2,3,2,2,6,6,0.5
G6,1,0,1,2,6,1,5,7,0.625
G9,2,4,2,4,3,4,3,4,0.875
G1,0,0,1,2,3,-1,0,7,0.5
G14,1,0,2,3,2,-1,2,6,0.5
G16,2,2,2,3,4,3,2,5,0.75
G13,2,2,1,0,1,3,2,8,0.5
G10,2,3,1,0,1,3,3,5,0.5
G17,2,3,0,0,-1,4,6,0,0.4375
out_trigger_2,2,3,1,0,-1,5,4,2,0.5
DFF_1.D,1,2,0,0,0,1,-1,-1,-1
CK,0,0,3,0,-1,-1,0,-1,0.5
wc,1,2,1,1,-1,4,3,3,0.5
DFF_2.D,1,2,0,0,0,1,-1,-1,-1
G2,0,0,1,1,2,-1,0,9,0.5
G3,0,0,1,2,5,-1,0,6,0.5
DFF_0.CK,1,0,0,0,1,1,-1,-1,-1
G5,1,0,1,3,3,1,4,4,0.5
DFF_1.Q,0,0,1,1,1,0,-1,-1,-1
G0,0,0,1,2,3,-1,0,7,0.5
DFF_0.D,1,2,0,0,0,1,-1,-1,-1
DFF_0.Q,0,0,1,1,1,0,-1,-1,-1
G11,2,3,3,2,2,2,4,3,0.625
G12,2,1,2,2,2,2,2,6,0.5
DFF_2.Q,0,0,1,1,1,0,-1,-1,-1
