,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability,(broken)Observability
C1_CO,2,4,5,9,2,3,7,30,0.0,9
C3_Q1VZ,2,4,1,1,2,3,11,18,0.5,9
DFF_1.Q,0,0,1,4,1,0,-1,-1,-1.0,9
C3VIINHN,1,1,2,2,4,5,16,14,0.0,9
TESTLVIINMUXVND1,2,4,1,1,3,4,6,33,0.5,9
DFF_10.Q,0,0,1,10,1,0,-1,-1,-1.0,9
UC_9VD,3,5,1,0,1,4,14,33,0.0,9
TCOMBVNQD,1,1,4,4,4,2,22,7,0.5,9
TCOMBVNODE18,2,2,1,1,3,3,11,11,0.5,9
FMLVIINMUXVND1,2,4,1,1,3,4,6,15,0.5,9
DFF_0.D,1,2,0,0,0,1,-1,-1,-1.0,9
UC_18VZ,2,4,1,1,2,3,10,26,0.5,9
DFF_1.CK,1,0,0,0,1,1,-1,-1,-1.0,9
FMLVIINMUX,1,2,1,1,2,5,7,14,0.5,9
TESTLVIINMUXVOR1NF,2,2,1,1,4,2,7,34,0.5,9
CLRB,1,1,21,27,2,-1,3,12,0.5,9
UC_19VZVOR1NF,2,2,1,1,3,2,17,27,0.0,9
TCOMB_GA2,4,10,1,0,1,3,17,4,0.5,9
TESTBVIIR1,1,0,1,2,7,-1,2,37,0.5,9
DFF_13.CK,1,0,0,0,1,1,-1,-1,-1.0,9
UC_21,1,1,2,3,5,2,13,29,0.5,9
C3_Q3VZVOR1NF,2,5,1,1,3,2,18,14,0.0,9
DFF_14.Q,0,0,1,4,1,0,-1,-1,-1.0,9
FMLVIINLATCHVCDN,1,1,1,1,2,-1,4,14,0.5,9
TCOMB_GA2VAD2NF,3,3,1,1,2,2,10,5,0.0,9
DFF_13.Q,0,0,1,2,1,0,-1,-1,-1.0,9
DFF_8.CK,1,0,0,0,1,1,-1,-1,-1.0,9
UC_8VZ,1,2,1,1,2,3,19,34,0.5,9
C2VCO0,2,3,2,2,4,3,8,28,0.0,9
TCOMBVNFM,1,1,5,5,4,2,7,11,0.75,9
