,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability
G194,1,1,1,1,7,6,7,11,0.467163086
II287,1,1,1,5,6,7,8,8,0.868896484
G81,1,0,1,1,-1,1,-1,7,0.25
DFF_6.Q,0,0,1,1,1,0,2,9,-1
DFF_1.D,1,4,0,0,0,1,2,-1,-1
G388,1,1,2,2,-1,-1,3,7,0.5
II254,1,2,1,1,8,5,6,10,0.868896484
IIII348,1,1,1,1,3,12,8,10,0.967163086
DFF_5.Q,0,0,1,1,1,0,2,9,-1
II172,1,1,1,1,11,2,14,7,0.751708984
G124,1,1,1,1,-1,13,9,4,0.471862793
G174,1,1,1,1,8,12,6,10,0.340454102
IIII334,1,1,1,1,3,13,13,11,0.967163086
G103BF,1,2,0,0,-1,8,3,0,0.961914063
G114,1,1,1,2,10,-1,4,6,0.5
G6,0,0,1,1,7,-1,0,15,0.5
II517,1,1,1,1,10,8,10,4,0.527832031
G66,1,0,1,1,20,1,22,10,0.40234375
G270,4,12,1,1,-1,11,6,7,0.523681641
IIII356,1,3,1,1,-1,-1,5,5,0.875
G395,1,1,7,7,3,7,5,10,0.956665039
G126,1,1,1,0,1,12,3,9,0.40234375
G23,0,0,1,2,13,-1,0,3,0.5
G214,2,2,1,2,7,14,3,6,0.595214844
G210,2,2,1,2,7,16,3,6,0.590454102
G226,2,2,1,1,4,7,3,13,0.25
G228,2,2,1,1,4,7,3,12,0.25
IIII208,1,1,1,1,3,12,17,11,0.324951172
G8,0,0,1,1,7,-1,0,15,0.5
II187,1,1,1,1,11,2,14,7,0.368896484
IIII553,3,3,1,1,4,7,7,11,0.25
G16,0,0,1,1,-1,-1,0,3,0.5
G29,0,0,1,1,-1,-1,0,3,0.5
DFF_10.CK,1,0,0,0,1,1,1,-1,-1
DFF_3.CK,1,0,0,0,1,1,1,-1,-1
G366,1,0,12,12,2,-1,2,10,0.5
G289,3,3,1,1,-1,-1,4,6,0.125
G146,1,1,1,1,7,6,11,11,0.324951172
G128,1,1,1,0,1,12,6,9,0.40234375
II202,1,1,1,1,11,2,13,7,0.751708984
G281,3,7,1,1,8,2,4,8,0.527832031
II460,1,2,1,1,8,5,12,11,0.751708984
G245,2,2,1,1,4,9,4,12,0.27734375
DFF_14.D,1,1,0,0,0,1,2,-1,-1
G113,1,1,1,2,10,3,13,6,0.967163086
G344,2,2,2,2,9,4,5,5,0.467163086
G378,1,1,3,3,5,9,9,7,0.751708984
II193,1,1,1,1,7,2,8,7,0.956665039
G313,1,1,1,0,-1,6,7,2,0.125
G108,1,1,1,2,8,14,8,6,0.345214844
IIII350,1,1,1,1,2,14,10,10,0.368896484
G119,1,1,1,2,10,3,13,6,0.646850586
IIII533,3,3,1,1,-1,9,10,9,0.075317383
G97BF,1,2,0,0,-1,8,3,0,0.859436035
G96,2,1,1,0,-1,7,2,2,0.233581543
DFF_6.D,1,1,0,0,0,1,2,-1,-1
G183,1,1,1,1,11,10,4,10,0.345214844
DFF_16.CK,1,0,0,0,1,1,1,-1,-1
G232,2,2,1,1,8,-1,3,9,0.25
G118,1,1,1,2,10,-1,4,6,0.5
G372,1,1,1,1,6,9,10,14,0.868896484
G383,1,1,4,4,5,8,13,9,0.324951172
IIII684,1,0,1,2,-1,-1,2,8,0.5
IIII329,1,1,1,1,2,13,10,10,0.751708984
IIII414,1,2,1,1,11,10,3,13,0.751708984
II382,1,1,1,5,3,7,7,12,0.967163086
G370,1,1,3,3,6,9,7,14,0.751708984
G277,3,3,1,1,3,7,6,10,0.25
G331,1,1,1,2,9,8,9,3,0.689331055
IIII327,1,2,1,1,3,12,9,11,0.646850586
II175,1,1,1,1,11,2,14,7,0.368896484
